99,225
102,254
109,279
116,301
131,326
149,343
174,358
195,368
220,372
238,368
252,351
270,333
281,311
288,290
292,268
295,250
292,229
145,204
163,193
177,186
199,186
217,190
245,190
259,186
274,186
284,193
292,204
227,215
231,233
234,247
234,261
209,275
220,279
231,283
242,279
249,275
166,222
177,215
191,215
202,222
191,225
177,225
245,222
259,215
270,215
277,222
270,225
259,225
170,301
195,297
217,293
227,297
238,297
252,297
263,301
252,318
238,326
227,329
213,326
195,318
177,301
217,301
227,304
238,301
256,301
238,315
227,318
213,318
