113,225
116,254
127,279
138,300
152,326
170,343
191,361
216,376
245,379
270,368
284,347
295,322
306,297
309,272
313,247
317,222
317,193
138,211
152,204
174,204
195,208
213,211
249,208
263,200
281,193
295,190
309,197
234,222
238,240
242,258
245,279
220,283
231,286
242,290
252,286
263,279
166,225
177,222
191,218
202,225
191,229
177,229
252,218
267,211
277,211
288,215
281,222
267,222
195,308
213,308
231,304
242,304
252,300
263,300
277,300
263,315
252,322
242,326
231,326
216,322
202,311
231,311
242,311
252,308
270,304
252,311
242,315
231,315
