127,233
138,254
149,279
166,301
181,322
199,343
220,361
242,379
270,376
292,361
309,340
320,311
331,279
331,247
331,218
324,186
317,158
127,218
138,204
152,200
174,193
191,197
220,190
238,179
256,172
274,165
292,172
209,211
216,233
224,261
227,283
209,293
220,297
234,297
245,286
256,279
152,225
159,218
174,215
184,218
174,225
163,229
238,200
249,193
263,190
277,193
267,197
252,200
213,326
220,322
231,318
242,318
249,315
267,311
281,308
270,322
256,333
249,336
238,336
224,333
216,326
234,326
242,322
252,322
274,311
252,318
242,322
234,326
