109,193
109,222
113,250
116,279
131,304
149,326
170,343
195,358
216,361
238,354
252,336
270,318
281,301
288,279
295,258
299,236
299,218
141,200
163,193
181,190
202,197
220,204
249,204
263,200
277,197
288,197
299,204
234,218
234,236
238,254
238,272
209,283
220,286
231,290
242,286
249,283
166,215
181,211
195,211
206,218
191,222
177,222
249,222
259,211
270,211
281,218
274,225
259,225
184,308
202,304
216,304
227,308
234,304
242,304
252,308
242,318
234,322
224,326
213,326
202,318
191,308
216,311
224,311
234,311
249,308
234,311
224,315
216,315
