251,268
251,290
255,311
258,329
265,354
273,376
287,397
305,411
330,418
355,408
380,393
405,376
423,354
437,325
437,297
441,268
437,236
251,247
258,236
269,233
283,233
298,240
326,233
344,225
362,218
380,222
398,233
312,254
312,268
312,283
312,297
298,315
308,318
315,318
326,315
337,311
269,261
276,254
287,254
298,258
287,265
276,265
344,254
355,243
366,243
376,247
366,250
355,254
294,351
301,343
312,340
319,343
326,340
341,340
358,343
344,354
330,361
323,365
312,361
305,358
298,351
312,351
319,351
330,347
351,343
330,351
319,351
312,351
